60AA	悪	AKU, O	waru(i)	bad, mean
6697	暗	AN	kura(i)	dark
533B	医	I	-	medicine
610F	意	I	-	will, heart, meaning
4EE5	以	I	-	prefix
5F15	引	IN	hi(ku), hi(keru)	to pull, make cheaper
9662	院	IN	-	institute, establishment
54E1	員	IN	-	member
904B	運	UN	hako(bu)	destiny, transport, carry
82F1	英	EI	-	brilliant, talented
6620	映	EI	utsu(su), he(eru)	to project, to glint
9060	遠	EN	too(i)	far away
5C4B	屋	OKU	ya	room, house
97F3	音	ON, IN	oto, ne	sound
6B4C	歌	KA	uta, uta(u)	song, poem, to sing
590F	夏	KA	natsu	summer
5BB6	家	KA, KE	ie, ya	house, home
753B	画	GA, KAKU	-	picture, line of a character
6D77	海	KAI	umi	sea, ocean
56DE	回	KAI	mawa(su)	times, occurrences
958B	開	KAI	a(keru), Hira(ku)	to open, vent, develop
754C	界	KAI	-	world
697D	楽	GAKU, RAKU	tano(shii), tano(shimu)	music, comfort, ease, joyful
9928	館	KAN	-	big hall, building
6F22	漢	KAN	-	China, man
5BD2	寒	KAN	samu(i)	cold temperature
9854	顔	GAN	kao	face
5E30	帰	KI	kae(ru), kae(su)	return home, return
8D77	起	KI	o(kiru), o(kuro)	stand up, start, cause
7A76	究	KYUU	kiwa(meru)	to explore, investigate
6025	急	KYUU	iso(gu)	urgent, quick, sudden, to hurry
725B	牛	GYUU	ushi	cow
53BB	去	KYO, KO	sa(ru)	to pass by
5F37	強	KYOU, GOU	tsuyo(i), tsuyo(maru), shi(iru)	strong, make stronger, to force
6559	教	KYOU	oshi(eru), oso(waru)	to teach, to learn
4EAC	京	KYOU, KEI	-	capital
696D	業	GYOU, GOU	waza	company, business, profession, art
8FD1	近	KIN	chika(i)	near
9280	銀	GIN	-	silver
533A	区	KU	-	city district
8A08	計	KEI	haka(ru), haka(rau)	to measure, to proceed
5144	兄	KEI, KYOU	ani	older brother
8EFD	軽	KEI	karu(i), karo(yaka)	light (weight)
75AC	犬	KEN	inu	dog
7814	研	KEN	to(gu)	to polish, sharpen, wash rice
770C	県	KEN	-	prefecture
5EFA	建	KEN	ta(teru), ta(su)	to construct, build
9A13	験	KEN	-	test, effect
5143	元	GEN, GAN	moto	reason, original
5DE5	工	KOU, KU	-	to construct
5A83	広	KOU	hiro(i), hiro(geru)	broad, wide, to widen, to expand
8003	考	KOU	kanga(eru)	to think, thought
5149	光	KOU	hikari, hika(ru)	light, to shine
597D	好	KOU	kono(mu), su(ku)	to like
5408	合	GOU, GA	a(waseru), a(u)	to fit, to connect
9ED2	黒	KOKU	kuro(i), kuro	black
83DC	菜	SAI	na	vegetable, rape
4F5C	作	SAKU, SA	tsuku(ru)	to make, to build
7523	産	SAN	u(mu), u(mareru)	birth, production
7D19	紙	SHI	kami	paper
601D	思	SHI	omo(u)	to think, to believe
59C9	姉	SHI	ane	older sister
6B62	止	SHI	to(maru), to(meru)	to stop
5E02	市	SHI	ichi	city, market
4ED5	仕	SHI, JI	tsuka(eru)	to serve
6B7B	死	SHI	shi(nu)	death, to die
4F7F	使	SHI	tsuka(u)	use, messenger
59CB	始	SHI	haji(meru/maru)	start, to begin
8A66	試	SHI	kokoro(miru), tame(su)	to try
79C1	私	SHI	watashi	I, me, private
5B57	字	JI	aza	character, sector of a village
81EA	自	JI, SHI	mizuka(ra)	self
4E8B	事	JI	koto	thing, matter
6301	持	JI	mo(tsu)	to own, to carry
5BA4	室	SHITSU	muro	room, cellar
8CEA	質	SHITSU, SHICHI	-	quality, nature
5199	写	SHA	utsu(su), utsu(ru)	copy, photograph
8005	者	SHA	mono	person
501F	借	SHAKU	ka(riru)	to rent, to borrow
5F31	弱	JAKU	yowa(i), yowa(ru), yowa(meru)	weak, to weaken
9996	首	SHU	kubi	neck, head
4E3B	主	SHU	nushi	owner, main-
79CB	秋	SHUU	aki	autumn, fall
96C6	集	SHUU	atsu(maru/meru)	to meet, to gather
7FD2	習	SHUU	nara(u)	to learn
7D42	終	SHUU	o(waru), o(eru)	end
4F4F	住	JUU	su(mu), su(mau)	to live in, to reside
91CD	重	JUU, CHOU	omo(i), kasa(naru), -e	heavy, serious, -fold
6625	春	SHUN	haru	spring
6240	所	SHO	tokoro	a place
6691	暑	SHO	atsu(i)	hot (temperature)
5834	場	JOU	ba	a place
4E57	乗	JOU	no(ru), no(seru)	to drive, to ride, to fool
8272	色	SHOKU	iro	color, sensuality
68EE	森	SHIN	mori	forest
5FC3	心	SHIN	kokoro	heart, mind
89AA	親	SHIN	oya, shita(shii), shita(shimu)	parents, to be close, to be friends
771F	真	SHIN	ma-	truth, reality, purity
9032	進	SHIN	susu(mu), susu(meru)	continue, proceed, promote
56F3	図	ZU, TO	haka(ru)	drawing, plan
9752	青	SEI	ao(i), ao	blue, green, unripe
6B63	正	SEI, SHOU	tada(shii), tada(su), masa	correct, right
58F0	声	SEI	koe	voice
4E16	世	SEI, SE	yo	world, age
8D64	赤	SEKI, SHAKU	aka(i), aka(maru), aka(rameru)	red, to flush
5915	夕	SEKI	yuu	evening
5207	切	SETSU, SAI	ki(ru), ki(reru)	to cut, come to an end
8AAC	説	SETSU	to(ku)	opinion, theory, explain
6D17	洗	SEN	ara(u)	to wash
65E9	早	SOU, SA	haya(i), haya(meru/maru)	fast, early, to speed up
8D70	走	SOU	hashi(ru)	to run
9001	送	SOU	oku(ru)	to send
65CF	族	ZOKU	-	family, tribe
6751	村	SON	mura	village
4F53	体	TAI, TEI	karada	body
592A	太	TAI, TA	futo(i), futo(ru)	bold, thick
5F85	待	TAI	ma(tsu)	to wait
8CB8	貸	TAI	ka(su)	to lend
53F0	台	DAI, TAI	-	frame, basis, pedestal
4EE3	代	DAI, TAI	ka(waru), ka(eru), yo, shiro	generation, age, replace
984C	題	DAI	-	title, theme, subject
77ED	短	TAN	mijika(i)	short
77E5	知	CHI	shi(ru)	to know
5730	地	CHI, JI	-	earth, land
6C60	池	CHI	ike	pond
8336	茶	CHA, SA	-	tea
7740	着	CHAKU	ki(ru), tsu(keru), ki(seru), tsu(ku)	arrival, clothes
663C	昼	CHUU	hiru	noon
6CE8	注	CHUU	soso(gu)	notice, attention, flow
753A	町	CHOU	machi	city, quarter, district
9CE5	鳥	CHOU	tori	bird
671D	朝	CHOU	asa	morning
901A	通	TSUU	tou(ru), tou(su), kayo(u)	to pass
5F1F	弟	TEI	otouto	younger brother
4F4E	低	TEI	hiku(i), hiku(meru/maru)	low, to lower
8EE2	転	TEN	koro(bu), koro(garu/geru), koro(gasu)	to roll, to turn
7530	田	DEN	ta	rice field
90FD	都	TO, TSU	miyako	capital
5EA8	度	DO	tabi	measure, degree
